author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
VESPER,developer,https://www.cian.ru/sale/flat/262519758/,Москва,sale,flat,5,21,2,110.6,103787040.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/301496936/,Москва,sale,flat,7,8,1,53.2,58786000.0,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
Tekta Group,developer,https://www.cian.ru/sale/flat/301259751/,Москва,sale,flat,23,42,2,41.6,25837760.0,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302081797/,Москва,sale,flat,2,10,2,69.4,85000000.0,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,143796000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,62000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Главстрой,developer,https://www.cian.ru/sale/flat/296921240/,Москва,sale,flat,3,26,2,65.8,27526142.0,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
ID 85604823,unknown,https://www.cian.ru/sale/flat/299429352/,Москва,sale,flat,38,51,2,63.0,36000000.0,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
Главстрой,developer,https://www.cian.ru/sale/flat/301772281/,Москва,sale,flat,2,8,2,48.83,24219680.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,58000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
MR Group,developer,https://www.cian.ru/sale/flat/304294682/,Москва,sale,flat,2,46,2,63.78,30642834.0,Даниловский,Дубининская ,59А,Серпуховская,Павелецкая Сити
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,169000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
БЭЛ Девелопмент,developer,https://www.cian.ru/sale/flat/303377181/,Москва,sale,flat,3,6,2,38.7,38313000.0,Тверской,Долгоруковская ,25к2,Новослободская,Долгоруковская 25
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087931/,Москва,sale,flat,7,15,2,120.0,149500000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Tekta Group,developer,https://www.cian.ru/sale/flat/303224329/,Москва,sale,flat,7,34,2,41.4,21296160.0,Обручевский,,,Воронцовская,Эвер ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301493797/,Москва,sale,flat,9,32,2,63.0,50700000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
MR Group,developer,https://www.cian.ru/sale/flat/300287958/,Москва,sale,flat,33,43,2,58.83,27333836.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303439862/,Москва,sale,flat,3,10,2,90.0,37900000.0,Басманный,Нижняя Красносельская ,35С48,Бауманская,TriBeCa APARTMENTS
Tekta Group,developer,https://www.cian.ru/sale/flat/301260478/,Москва,sale,flat,5,27,2,40.5,24036750.0,Даниловский,,,Павелецкая,Era
ID 86900871,realtor,https://www.cian.ru/sale/flat/297947020/,Москва,sale,flat,2,3,2,46.3,56000000.0,Басманный, Маросейка,11/4С1,Китай-город,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/304172962/,Москва,sale,flat,4,7,2,66.2,25745180.0,,,В17 кв-л,Опалиха,Сберсити ЖК
ID 112591621,homeowner,https://www.cian.ru/sale/flat/301839935/,Москва,sale,flat,13,45,2,51.0,31500000.0,Дорогомилово,Кутузовский проезд,16А/1,Деловой центр,River Park Кутузовский
Мангазея,developer,https://www.cian.ru/sale/flat/301581592/,Москва,sale,flat,9,21,2,74.2,36238909.0,Щукино,Щукинская ,,Щукинская,Интонация
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/302544975/,Москва,sale,flat,19,41,1,47.6,42000000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516517/,Москва,sale,flat,2,11,2,47.0,24769000.0,,,В14 кв-л,Павшино,Сберсити ЖК
Центр Недвижимости Татьяны Анисимовой,real_estate_agent,https://www.cian.ru/sale/flat/304254105/,Москва,sale,flat,21,24,1,34.1,10500000.0,, Бачуринская,13,Коммунарка,
Ташир,developer,https://www.cian.ru/sale/flat/304143918/,Москва,sale,flat,10,32,2,76.6,31834960.0,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
Центр Недвижимости Татьяны Анисимовой,real_estate_agent,https://www.cian.ru/sale/flat/299242534/,Москва,sale,flat,1,3,1,44.0,9800000.0,, Нильса Бора,6,Коммунарка,
COLDY,developer,https://www.cian.ru/sale/flat/303330158/,Москва,sale,flat,2,15,2,70.8,54813512.0,Даниловский, Серпуховский Вал,7,Тульская,Дом 7 Даниловский
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303753500/,Москва,sale,flat,3,5,2,69.3,52000000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
PIONEER,developer,https://www.cian.ru/sale/flat/301513284/,Москва,sale,flat,4,22,2,47.2,24921930.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/295800676/,Москва,sale,flat,4,17,2,44.5,39500000.0,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516183/,Москва,sale,flat,2,12,2,85.94,38612842.0,,,В19 кв-л,Павшино,Сберсити ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Москва,sale,flat,5,21,2,117.0,115000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040442/,Москва,sale,flat,2,6,2,102.4,98201600.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва,sale,flat,5,6,2,43.0,27500000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299934989/,Москва,sale,flat,4,13,2,81.26,34421736.0,,,В21 кв-л,Опалиха,Сберсити ЖК
Бюро Эстейт Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301212653/,Москва,sale,flat,2,24,2,57.4,26000000.0,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,Sydney City
Пионер,developer,https://www.cian.ru/sale/flat/301459955/,Москва,sale,flat,4,11,2,85.3,70625414.0,Даниловский,,,Павелецкая,Опус ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300942839/,Москва,sale,flat,2,7,2,82.6,38000000.0,Беговой,Ленинградский проспект,15С28,Белорусская,Bolshevik
Киноцентр,developer,https://www.cian.ru/sale/flat/302253810/,Москва,sale,flat,7,20,2,54.85,54795150.0,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/303902201/,Москва,sale,flat,17,24,2,45.0,37000000.0,Хорошевский,Хорошевское шоссе,25Ак2,Полежаевская,Династия
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040534/,Москва,sale,flat,3,8,2,75.2,50308800.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Элитный жилой комплекс 
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Среда,developer,https://www.cian.ru/sale/flat/303859205/,Москва,sale,flat,6,27,2,53.6,20630640.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва,sale,flat,39,41,2,56.9,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
EraOneHolding,developer,https://www.cian.ru/sale/flat/280427150/,Москва,sale,flat,3,5,2,178.6,150400000.0,Арбат, Арбат,39,Смоленская,Artisan
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301910921/,Москва,sale,flat,20,23,2,68.1,34118100.0,Басманный, Фридриха Энгельса,56,Бауманская,Премиум-квартал 
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299860953/,Москва,sale,flat,9,41,1,40.5,27000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва,sale,flat,2,14,2,85.6,168270000.0,Якиманка,,,Боровицкая,Лаврушинский ЖК
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/292933473/,Москва,sale,flat,16,40,1,41.1,31500000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/293721204/,Москва,sale,flat,3,13,2,82.36,44400276.0,,,В20 кв-л,Павшино,Сберсити ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303582856/,Москва,sale,flat,4,21,2,56.2,60000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/304065659/,Москва,sale,flat,4,17,2,49.8,53567000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/303800679/,Москва,sale,flat,50,64,2,85.0,59000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Sense Development,developer,https://www.cian.ru/sale/flat/299137278/,Москва,sale,flat,9,13,2,64.6,36374496.0,Даниловский,Подольское шоссе,3,Тульская,Logos
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/304178493/,Москва,sale,flat,7,20,2,59.4,28990000.0,Хорошево-Мневники,к2/1,к2/1,Хорошёво,Сидней Сити ЖК
Сбербанк Капитал,developer,https://www.cian.ru/sale/flat/288177346/,Москва,sale,flat,2,7,2,112.8,118321582.0,Якиманка,Софийская набережная,36,Новокузнецкая,Резиденция 1864
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050415/,Москва,sale,flat,11,13,2,83.0,99000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040420/,Москва,sale,flat,4,6,2,74.91,124200780.0,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303635688/,Москва,sale,flat,2,5,2,106.0,160000000.0,Тверской,Никольская ,10,Площадь Революции,St. Nickolas
Hutton Development,developer,https://www.cian.ru/sale/flat/303616433/,Москва,sale,flat,5,6,2,75.6,181440000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
Novel Estates,real_estate_agent,https://www.cian.ru/sale/flat/301247847/,Москва,sale,flat,15,77,2,98.0,88000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Regions Development,developer,https://www.cian.ru/sale/flat/304060514/,Москва,sale,flat,2,23,2,72.1,,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/303087894/,Москва,sale,flat,9,14,2,99.71,118450000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ANT Development,developer,https://www.cian.ru/sale/flat/303519421/,Москва,sale,flat,2,10,2,59.8,66618396.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/300074305/,Москва,sale,flat,5,38,1,39.8,20000000.0,Останкинский, Вильгельма Пика,,Ботанический сад,Режиссёр
Ташир,developer,https://www.cian.ru/sale/flat/274701405/,Москва,sale,flat,2,17,2,43.3,27062500.0,Раменки,Мичуринский проспект,вл30Б,Ломоносовский проспект,Legacy
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303137027/,Москва,sale,flat,2,5,2,106.0,160000000.0,Тверской,Никольская ,10,Площадь Революции,St. Nickolas
Sminex,developer,https://www.cian.ru/sale/flat/303125490/,Москва,sale,flat,11,14,2,67.1,39190000.0,Раменки,проспект Генерала Дорохова,39к2М,Ломоносовский проспект,Собрание клубных домов West Garden
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298216770/,Москва,sale,flat,13,44,2,73.2,29500000.0,Хорошево-Мневники,к2/2,к2/2,Шелепиха,Сидней Сити ЖК
Стадион Спартак,developer,https://www.cian.ru/sale/flat/298406172/,Москва,sale,flat,4,13,2,66.7,32609630.0,Покровское-Стрешнево,Северо-Западный ао,,Спартак,Клубный Город на Реке Примавера ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299509241/,Москва,sale,flat,24,24,2,57.4,39000000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
MR Group,developer,https://www.cian.ru/sale/flat/302792260/,Москва,sale,flat,4,13,2,85.76,108088817.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/304106467/,Москва,sale,flat,4,4,2,51.1,37000000.0,Хорошевский,Ленинградский проспект,37/7,Аэропорт,Прайм Парк
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/299370748/,Москва,sale,flat,3,6,2,44.0,23232000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
Novel Estates,real_estate_agent,https://www.cian.ru/sale/flat/304063027/,Москва,sale,flat,2,16,2,60.0,36500000.0,Хамовники,Фрунзенская набережная,50,Спортивная,
СИТИ21,developer,https://www.cian.ru/sale/flat/292035501/,Москва,sale,flat,14,15,2,75.8,41390372.0,Останкинский,проспект Мира,95,Алексеевская,Hill8
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303071841/,Москва,sale,flat,19,32,1,32.2,25000000.0,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner
EraOneHolding,developer,https://www.cian.ru/sale/flat/284404561/,Москва,sale,flat,8,8,2,121.2,159473684.0,Арбат, Арбат,24,Смоленская,Turandot Residences
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303337092/,Москва,sale,flat,3,7,2,91.2,80000000.0,Басманный,Гороховский переулок,12с5,Курская,Гороховский 12
COLDY,developer,https://www.cian.ru/sale/flat/297997312/,Москва,sale,flat,2,14,2,147.05,303725598.0,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/300964449/,Москва,sale,flat,20,22,2,38.4,15500000.0,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
VESPER,developer,https://www.cian.ru/sale/flat/287317369/,Москва,sale,flat,5,21,1,65.9,78259545.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/300967746/,Москва,sale,flat,6,24,2,40.0,16500000.0,Митино,Муравская ,46к3,Пятницкое шоссе,Эко-квартал Аквилон Митино
КРОСТ,developer,https://www.cian.ru/sale/flat/296745429/,Москва,sale,flat,26,28,2,47.5,22182500.0,Хорошево-Мневники, Генерала Глаголева,,,CRYSTAL Трилогия
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303820905/,Москва,sale,flat,10,14,1,65.2,35000000.0,Мещанский, Гиляровского,50,Проспект Мира,
Трансстройинвест,developer,https://www.cian.ru/sale/flat/301925930/,Москва,sale,flat,11,23,2,44.1,21442891.0,Очаково-Матвеевское,Очаково мкр,,Озёрная,ОМ ЖК
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/301407636/,Москва,sale,flat,21,22,1,38.5,15500000.0,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
MR Group,developer,https://www.cian.ru/sale/flat/298278959/,Москва,sale,flat,2,37,2,64.3,41616568.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
GLINCOM,official_representative,https://www.cian.ru/sale/flat/297952301/,Москва,sale,flat,2,6,2,90.0,34900000.0,Алексеевский,проспект Мира,102к2,Алексеевская,Парк Мира
ANT Development,developer,https://www.cian.ru/sale/flat/303519450/,Москва,sale,flat,22,34,2,50.6,59236384.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/303980600/,Москва,sale,flat,4,10,2,44.3,34000000.0,Беговой, 1-я Ямского Поля,1к1,Белорусская,Slava
MR Group,developer,https://www.cian.ru/sale/flat/290790439/,Москва,sale,flat,2,57,2,58.48,32674530.0,Филевский парк,,,Фили,Фили Сити ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301019177/,Москва,sale,flat,31,34,1,36.0,22000000.0,Хорошево-Мневники,Шелепихинская набережная,34,Шелепиха,Сердце Столицы
Ташир,developer,https://www.cian.ru/sale/flat/299137381/,Москва,sale,flat,4,21,2,47.9,19339625.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса)
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/301035843/,Москва,sale,flat,3,7,2,99.0,80000000.0,Басманный,Гороховский переулок,12,Курская,Гороховский 12
Группа Родина,developer,https://www.cian.ru/sale/flat/285606685/,Москва,sale,flat,2,23,2,62.5,31200000.0,Ростокино,,к2,Ботанический сад,Союз ЖК
ЗАПАДНЫЙ САД,real_estate_agent,https://www.cian.ru/sale/flat/304117173/,Москва,sale,flat,12,14,2,49.0,32899000.0,Раменки,проспект Генерала Дорохова,39к1А,Минская,Собрание клубных домов West Garden
Sminex,developer,https://www.cian.ru/sale/flat/303262598/,Москва,sale,flat,3,26,2,61.54,29580000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/292853214/,Москва,sale,flat,36,41,2,58.3,33000000.0,Раменки,1-й Сетуньский проезд,вл8,Кутузовская,Hide
Tekta Group,developer,https://www.cian.ru/sale/flat/303506169/,Москва,sale,flat,3,22,2,39.9,17288670.0,Нагорный,,1,Нагорная,Твелв ЖК
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/301907258/,Москва,sale,flat,2,12,1,38.7,10600000.0,Строгино, Исаковского,2К1,Мякинино,
Sminex,developer,https://www.cian.ru/sale/flat/304094767/,Москва,sale,flat,3,24,2,55.9,77660000.0,Пресненский,Электрический переулок,1кАБ,Белорусская,Квартал Тишинский бульвар
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258691/,Москва,sale,flat,2,21,2,57.23,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
GloraX,developer,https://www.cian.ru/sale/flat/303476998/,Москва,sale,flat,3,21,2,75.3,38089999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/294872333/,Москва,sale,flat,17,18,2,117.0,179000000.0,Пресненский,2-я Звенигородская ,11,Улица 1905 года,Резиденция МОНЭ
Пионер,developer,https://www.cian.ru/sale/flat/301460245/,Москва,sale,flat,7,39,2,36.0,27793764.0,Даниловский,,,Павелецкая,Хай Лайф ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300701528/,Москва,sale,flat,11,41,2,67.1,33000000.0,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
Ташир,developer,https://www.cian.ru/sale/flat/302722354/,Москва,sale,flat,2,16,2,46.8,23868000.0,Даниловский, Серпуховский Вал,1,Тульская,DECO RESIDENCE (Апартаменты премиум-класса)
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302177521/,Москва,sale,flat,3,15,2,58.54,65000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky
Prime Life Development,developer,https://www.cian.ru/sale/flat/299132492/,Москва,sale,flat,6,28,2,59.76,29898807.0,Нагатино-Садовники,Нагатинская ,к1вл1,Нагатинская,Первый Нагатинский
ЗАПАДНЫЙ САД,real_estate_agent,https://www.cian.ru/sale/flat/303321179/,Москва,sale,flat,7,14,2,69.0,36799000.0,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
VESPER,developer,https://www.cian.ru/sale/flat/289484529/,Москва,sale,flat,8,9,1,64.5,89010000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/302203106/,Москва,sale,flat,8,19,1,30.8,20750000.0,Беговой,Ленинградский проспект,29к3,Динамо,Царская площадь
MR Group,developer,https://www.cian.ru/sale/flat/294196808/,Москва,sale,flat,33,41,2,75.2,38352000.0,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/303919506/,Москва,sale,flat,22,43,1,44.0,29300000.0,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
Трансстройинвест,developer,https://www.cian.ru/sale/flat/301764354/,Москва,sale,flat,2,8,2,63.6,88149600.0,Мещанский,Большой Кисельный переулок,11/2с2,Тургеневская,Frank's house
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303753508/,Москва,sale,flat,37,37,1,48.0,42000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,22374675.0,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301782648/,Москва,sale,flat,10,21,1,65.0,65000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Главстрой,developer,https://www.cian.ru/sale/flat/301772285/,Москва,sale,flat,2,8,1,44.6,18727540.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299330003/,Москва,sale,flat,63,66,1,86.0,96000000.0,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
Пионер,developer,https://www.cian.ru/sale/flat/301459888/,Москва,sale,flat,6,18,2,48.4,36526254.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT
ID 109135729,realtor,https://www.cian.ru/sale/flat/303087972/,Москва,sale,flat,3,21,2,58.54,61000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
MR Group,developer,https://www.cian.ru/sale/flat/299093496/,Москва,sale,flat,18,41,1,37.7,23930985.0,Даниловский,Дубининская ,59к7,Серпуховская,Павелецкая Сити
HYDE Residences,real_estate_agent,https://www.cian.ru/sale/flat/303400078/,Москва,sale,flat,35,78,2,82.0,55600000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
MR Group,developer,https://www.cian.ru/sale/flat/303880112/,Москва,sale,flat,2,54,2,59.94,29490480.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301165914/,Москва,sale,flat,7,24,1,49.0,21500000.0,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
Основа,developer,https://www.cian.ru/sale/flat/292154031/,Москва,sale,flat,6,28,2,41.3,17065160.0,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303060724/,Москва,sale,flat,8,32,2,63.4,51000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
КОРТРОС,developer,https://www.cian.ru/sale/flat/296640150/,Москва,sale,flat,5,49,2,59.19,23143290.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/303570625/,Москва,sale,flat,12,12,2,45.6,9750000.0,Бибирево,Белозерская ,1А,Алтуфьево,
