author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Sminex,developer,https://www.cian.ru/sale/flat/299801831/,Москва,sale,flat,2,23,2,56.0,56130000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300983679/,Москва,sale,flat,13,21,2,80.3,54900000.0,Раменки,Мосфильмовская ,88к4,Раменки,Мосфильмовский
Sminex,developer,https://www.cian.ru/sale/flat/294328854/,Москва,sale,flat,3,6,2,120.3,226580000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/302362462/,Москва,sale,flat,13,36,2,64.0,40900000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,Сердце Столицы
Центр-Инвест,developer,https://www.cian.ru/sale/flat/298329474/,Москва,sale,flat,7,9,2,69.9,69134455.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/300862129/,Москва,sale,flat,24,24,2,58.0,38950000.0,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,Сердце Столицы
Tekta Group,developer,https://www.cian.ru/sale/flat/303224373/,Москва,sale,flat,7,34,1,30.0,16284000.0,Обручевский,,,Воронцовская,Эвер ЖК
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299551213/,Москва,sale,flat,4,4,2,59.9,48000000.0,Пресненский,Малый Козихинский переулок,8/18,Пушкинская,
Пионер,developer,https://www.cian.ru/sale/flat/303979491/,Москва,sale,flat,4,25,2,56.59,23201273.0,Москворечье-Сабурово,,,Варшавская,Лайф Варшавская ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/299655879/,Москва,sale,flat,14,24,2,46.0,31000000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
Донстрой,developer,https://www.cian.ru/sale/flat/304095700/,Москва,sale,flat,3,16,2,81.6,60024960.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/295983268/,Москва,sale,flat,44,44,2,86.3,42000000.0,Хорошево-Мневники, Шеногина,,Шелепиха,Sydney City
LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/301551495/,Москва,sale,flat,7,34,2,59.1,,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296711017/,Москва,sale,flat,6,12,2,52.0,30000000.0,Аэропорт,Ленинградский проспект,36с36,Динамо,ВТБ Арена парк
Группа Родина,developer,https://www.cian.ru/sale/flat/304258048/,Москва,sale,flat,5,14,2,41.0,21827500.0,Можайский,,,Давыдково,Родина Парк ЖК
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/301804977/,Москва,sale,flat,5,29,2,49.3,25990000.0,Хорошево-Мневники,,,Шелепиха,Сидней Сити ЖК
MR Group,developer,https://www.cian.ru/sale/flat/300288766/,Москва,sale,flat,40,54,1,29.14,19101464.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Барно Турсунова,realtor,https://www.cian.ru/sale/flat/304102478/,Москва,sale,flat,7,17,2,50.9,15480000.0,Останкинский,Березовая аллея,19к6,Ботанический сад,Апарт-комплекс Легендарный квартал
Tekta Group,developer,https://www.cian.ru/sale/flat/301260582/,Москва,sale,flat,14,27,1,28.1,19453630.0,Даниловский,,,Павелецкая,Era
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299203876/,Москва,sale,flat,2,10,1,35.0,13100000.0,Ростокино,проспект Мира,188Бк2,Ростокино,Триколор
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/301919439/,Москва,sale,flat,2,10,1,42.4,18020000.0,,,В17 кв-л,Опалиха,Сберсити ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300610100/,Москва,sale,flat,3,24,2,70.0,46500000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
Мангазея,developer,https://www.cian.ru/sale/flat/302850687/,Москва,sale,flat,4,21,1,48.0,24209040.0,Щукино,Щукинская ,3,Щукинская,Интонация
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299888104/,Москва,sale,flat,44,65,1,52.0,41000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Upside Development,developer,https://www.cian.ru/sale/flat/303215966/,Москва,sale,flat,11,12,2,77.0,47740000.0,Даниловский,2-я Рощинская ,1,Тульская,Данилов дом
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280751407/,Москва,sale,flat,4,7,1,33.56,5600000.0,, Луговая,,Рассказовка,Эдельвейс
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298849163/,Москва,sale,flat,3,10,1,45.5,23596300.0,,,В14 кв-л,Павшино,Сберсити ЖК
HYDE Residences,real_estate_agent,https://www.cian.ru/sale/flat/301809971/,Москва,sale,flat,58,78,2,75.0,45000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/292534789/,Москва,sale,flat,2,25,2,54.5,18393750.0,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303564346/,Москва,sale,flat,3,20,2,56.6,64186000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Capital Group,developer,https://www.cian.ru/sale/flat/301482894/,Москва,sale,flat,11,18,2,45.8,56907301.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/297935793/,Москва,sale,flat,3,5,2,52.0,39000000.0,Донской,4-й Верхний Михайловский проезд,4к1,Шаболовская,
COLDY,developer,https://www.cian.ru/sale/flat/303330139/,Москва,sale,flat,2,15,1,35.27,28877924.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский
HYDE Residences,real_estate_agent,https://www.cian.ru/sale/flat/303291308/,Москва,sale,flat,50,78,2,64.0,45000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
PIONEER,developer,https://www.cian.ru/sale/flat/303709179/,Москва,sale,flat,9,22,1,31.0,16667801.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301042658/,Москва,sale,flat,24,79,1,72.0,63000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299137613/,Москва,sale,flat,4,12,1,45.87,23045088.0,,,В19 кв-л,Павшино,Сберсити ЖК
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303633126/,Москва,sale,flat,8,9,2,41.0,11290000.0,Люблино, Верхние Поля,7К2,Братиславская,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/300423805/,Москва,sale,flat,2,13,1,56.19,26499204.0,,,В21 кв-л,Опалиха,Сберсити ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/297313098/,Москва,sale,flat,3,21,2,56.6,65090000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Пионер,developer,https://www.cian.ru/sale/flat/301459957/,Москва,sale,flat,4,11,1,56.1,52874642.0,Даниловский,,,Павелецкая,Опус ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302626552/,Москва,sale,flat,18,79,2,71.8,50000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
VOS HOD,developer,https://www.cian.ru/sale/flat/300560439/,Москва,sale,flat,8,17,2,71.8,43991860.0,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,AHEAD
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/287929947/,Москва,sale,flat,7,22,2,75.0,40000000.0,Раменки,Минская ,1ГК1,Ломоносовский проспект,Золотые Ключи 2
MR Group,developer,https://www.cian.ru/sale/flat/303224692/,Москва,sale,flat,12,44,2,61.78,29208367.0,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,Mod
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300179482/,Москва,sale,flat,8,15,1,36.56,7300000.0,, Уточкина,4,Силикатная,
Forma,developer,https://www.cian.ru/sale/flat/300887190/,Москва,sale,flat,4,27,2,64.0,27504000.0,Аэропорт,Часовая ,28к8,Сокол,SOUL
Unique,real_estate_agent,https://www.cian.ru/sale/flat/287678758/,Москва,sale,flat,4,26,1,46.0,32000000.0,Очаково-Матвеевское,Нежинская ,5к2,Давыдково,Городские резиденции SPIRES
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040538/,Москва,sale,flat,5,8,1,48.3,36852900.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Элитный жилой комплекс 
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/304325396/,Москва,sale,flat,9,17,2,62.8,12000000.0,Некрасовка, Недорубова,20к2,Некрасовка,Некрасовка
Среда,developer,https://www.cian.ru/sale/flat/303626069/,Москва,sale,flat,3,27,1,35.3,14988380.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/301355208/,Москва,sale,flat,6,6,2,145.5,158642639.0,Якиманка, Большая Полянка,61С2,Добрынинская,
FORMA,developer,https://www.cian.ru/sale/flat/303018405/,Москва,sale,flat,18,33,2,46.45,41753905.0,Пресненский,к2.3,к2.3,Белорусская,Репаблик ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298908775/,Москва,sale,flat,3,9,2,58.1,15500000.0,, Александры Монаховой,88к2,Бунинская аллея,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/300921483/,Москва,sale,flat,2,19,2,62.8,25170240.0,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303296300/,Москва,sale,flat,38,68,2,72.5,78000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040411/,Москва,sale,flat,5,23,1,47.6,22086400.0,Басманный, Фридриха Энгельса,56,Бауманская,Премиум-квартал 
Дмитрий Воронин,realtor,https://www.cian.ru/sale/flat/304297549/,Москва,sale,flat,7,15,2,51.6,16400000.0,, Василия Ощепкова,4,Коммунарка,Москвичка
Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,133830000.0,Якиманка,,,Полянка,Лаврушинский ЖК
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/301716912/,Москва,sale,flat,48,64,2,104.0,88000000.0,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
СТ Тауэрс,developer,https://www.cian.ru/sale/flat/302833885/,Москва,sale,flat,42,66,2,67.4,64704000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/301404169/,Москва,sale,flat,3,14,2,44.0,36500000.0,Раменки,проспект Генерала Дорохова,39к1Б,Минская,Собрание клубных домов West Garden
Центр-Инвест,representative_developer,https://www.cian.ru/sale/flat/304087556/,Москва,sale,flat,7,15,2,40.8,24984579.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301362196/,Москва,sale,flat,3,15,1,65.0,61000000.0,Раменки,Мосфильмовская ,31А,Ломоносовский проспект,KING & SONS
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/291868741/,Москва,sale,flat,3,13,1,54.02,30299818.0,,,В20 кв-л,Павшино,Сберсити ЖК
ID 413522,realtor,https://www.cian.ru/sale/flat/303087594/,Москва,sale,flat,7,14,2,95.0,164990000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/304065730/,Москва,sale,flat,7,18,1,49.8,53036000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303202031/,Москва,sale,flat,2,25,2,41.3,12200000.0,Орехово-Борисово Южное,Ясеневая ,12к2,Домодедовская,Ясеневая 14
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040427/,Москва,sale,flat,4,6,1,51.2,57190400.0,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,Клубный дом Космо 4/22
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303866591/,Москва,sale,flat,4,5,2,42.8,11500000.0,Новогиреево,Мартеновская ,16/36,Новогиреево,
Hutton Development,developer,https://www.cian.ru/sale/flat/304286459/,Москва,sale,flat,2,6,1,48.3,95634000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303817562/,Москва,sale,flat,3,9,2,47.0,12490000.0,Орехово-Борисово Южное,Домодедовская ,33,Домодедовская,
Hutton Development,developer,https://www.cian.ru/sale/flat/299066778/,Москва,sale,flat,4,17,2,87.6,50808000.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303810531/,Москва,sale,flat,5,8,2,44.7,14990000.0,Донской,Варшавское шоссе,18К3,Верхние котлы,
Regions Development,developer,https://www.cian.ru/sale/flat/304206346/,Москва,sale,flat,2,16,2,40.18,17672797.0,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303780364/,Москва,sale,flat,4,9,1,33.0,11900000.0,Нагатинский затон,Судостроительная ,6,Коломенская,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/302795522/,Москва,sale,flat,2,20,2,36.0,13795200.0,Головинский,Михалковская ,48С4,Коптево,Михалковский
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/303790635/,Москва,sale,flat,10,15,1,38.3,8950000.0,Крюково,Зеленоград,к2033,Зеленоград — Крюково,
Regions Development,developer,https://www.cian.ru/sale/flat/304060672/,Москва,sale,flat,2,23,1,57.5,,Нагатинский затон,проспект Андропова,9/1,Технопарк,Dream Towers
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303814205/,Москва,sale,flat,2,9,1,34.1,20490000.0,Красносельский,переулок Даев,12/16,Сухаревская,
MR Group,developer,https://www.cian.ru/sale/flat/303451581/,Москва,sale,flat,11,29,2,55.8,21011728.0,Южнопортовый,Волгоградский проспект,32/3к4,Дубровка,Метрополия
Unique,real_estate_agent,https://www.cian.ru/sale/flat/303783084/,Москва,sale,flat,6,9,2,60.0,18000000.0,, Ясеневая,1к1,Ольховая,
КОРТРОС,developer,https://www.cian.ru/sale/flat/289743607/,Москва,sale,flat,33,41,2,66.47,32756416.0,Пресненский,Шелепихинское шоссе,,Шелепиха,Headliner
Никита Пучинин,realtor,https://www.cian.ru/sale/flat/304173925/,Москва,sale,flat,25,43,1,35.0,24450000.0,Хорошево-Мневники,Шелепихинская набережная,40к1,Шелепиха,Sydney City
Sminex,developer,https://www.cian.ru/sale/flat/303125654/,Москва,sale,flat,8,14,1,44.6,26190000.0,Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303274502/,Москва,sale,flat,3,9,1,32.1,12690000.0,Южнопортовый,5-я Кожуховская ,22К2,Кожуховская,
Level Group,developer,https://www.cian.ru/sale/flat/296357478/,Москва,sale,flat,24,26,2,41.8,,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,Level Нагатинская
ID 107328710,realtor,https://www.cian.ru/sale/flat/296723055/,Москва,sale,flat,9,9,2,49.0,36000000.0,Арбат,Смоленская ,10,Смоленская,
Стадион Спартак,developer,https://www.cian.ru/sale/flat/292442347/,Москва,sale,flat,3,13,1,45.4,23081360.0,Покровское-Стрешнево,Северо-Западный ао,,Спартак,Клубный Город на Реке Примавера ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299107582/,Москва,sale,flat,5,6,2,94.0,111110000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT
MR Group,developer,https://www.cian.ru/sale/flat/302792284/,Москва,sale,flat,7,13,1,94.3,164419405.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/302141509/,Москва,sale,flat,17,47,2,63.5,28000000.0,Обручевский, Академика Волгина,2С3,Воронцовская,Архитектор
MR Group,developer,https://www.cian.ru/sale/flat/298871363/,Москва,sale,flat,2,48,2,52.6,18852892.0,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,Мультиквартал CITYZEN
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/300577056/,Москва,sale,flat,35,78,2,83.0,63000000.0,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
TOUCH,developer,https://www.cian.ru/sale/flat/302838481/,Москва,sale,flat,6,13,2,60.31,35498000.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/280116651/,Москва,sale,flat,62,77,2,111.0,149000000.0,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/299370745/,Москва,sale,flat,2,6,1,39.0,19500000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302999320/,Москва,sale,flat,4,8,2,69.8,60372337.0,Хамовники,Смоленский бульвар,22/14,Смоленская,
СИТИ21,developer,https://www.cian.ru/sale/flat/301300201/,Москва,sale,flat,15,15,1,36.4,24504472.0,Останкинский,проспект Мира,95,Алексеевская,Hill8
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/292945866/,Москва,sale,flat,5,15,2,57.4,33000000.0,Якиманка, Шаболовка,23к2,Шаболовская,Созвездие Капитал-1
COLDY,developer,https://www.cian.ru/sale/flat/297997304/,Москва,sale,flat,2,14,1,101.91,183834633.0,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/290380827/,Москва,sale,flat,2,6,2,107.0,162168031.0,Таганский,Серебряническая набережная,19,Чкаловская,АртХаус
ASTERUS,representative_developer,https://www.cian.ru/sale/flat/299661848/,Москва,sale,flat,2,14,2,57.0,28160045.0,Покровское-Стрешнево,,,Тушинская,Алиа ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/271842660/,Москва,sale,flat,3,9,2,65.0,88134799.0,Пресненский,Большая Бронная ,9/1,Пушкинская,
MR Group,developer,https://www.cian.ru/sale/flat/301223453/,Москва,sale,flat,2,39,2,60.57,21980883.0,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/296060335/,Москва,sale,flat,51,53,2,37.4,19500000.0,Очаково-Матвеевское,,к1,Мичуринский проспект,Левел Мичуринский ЖК
Мангазея,developer,https://www.cian.ru/sale/flat/304059488/,Москва,sale,flat,24,41,2,64.1,28415530.0,Даниловский,Большая Тульская ,10С5,Тульская,Мангазея на Тульской
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/290380842/,Москва,sale,flat,33,73,2,103.0,110000000.0,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
Sense Development,developer,https://www.cian.ru/sale/flat/298147711/,Москва,sale,flat,12,13,1,43.7,27609617.0,Даниловский,Подольское шоссе,3,Тульская,Logos
Артем Ченцов,realtor,https://www.cian.ru/sale/flat/302772342/,Москва,sale,flat,9,30,2,49.8,26000000.0,Хорошево-Мневники,Шелепихинская набережная,40к3,Хорошёвская,Sydney City
КРОСТ,developer,https://www.cian.ru/sale/flat/296745539/,Москва,sale,flat,21,28,1,36.9,18117900.0,Хорошево-Мневники, Генерала Глаголева,,,CRYSTAL Трилогия
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,9700000.0,Гольяново,Уральская ,1,Щёлковская,
Трансстройинвест,developer,https://www.cian.ru/sale/flat/299589652/,Москва,sale,flat,2,24,1,43.5,17768630.0,Очаково-Матвеевское,Мичуринский проспект,72А,Озёрная,ОМ
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/294511036/,Москва,sale,flat,4,23,2,90.6,45000000.0,Хорошевский, Гризодубовой,2,ЦСКА,Гранд-парк
ДОНСТРОЙ,developer,https://www.cian.ru/sale/flat/304095566/,Москва,sale,flat,2,49,2,67.2,29749440.0,Раменки,Кинематографический кв-л,,Мичуринский проспект,Событие ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520504/,Москва,sale,flat,2,21,2,116.0,142000000.0,Пресненский, Костикова,4к3,Улица 1905 года,Lucky
Трансстройинвест,developer,https://www.cian.ru/sale/flat/296222970/,Москва,sale,flat,17,22,2,58.9,29460366.0,Останкинский,проезд Ольминского,4,ВДНХ,Сенатор
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/301628710/,Москва,sale,flat,2,5,2,75.1,84500000.0,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
Основа,developer,https://www.cian.ru/sale/flat/304303445/,Москва,sale,flat,3,5,2,38.1,,Марфино,Ботаническая ,29К1,Владыкино,VERY
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301353911/,Москва,sale,flat,5,7,2,69.7,100564740.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
MR Group,developer,https://www.cian.ru/sale/flat/298874818/,Москва,sale,flat,5,36,1,40.8,28362079.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/303910013/,Москва,sale,flat,5,17,2,58.0,19150000.0,Марьино,Новочеркасский бульвар,47,Марьино,
Forma,developer,https://www.cian.ru/sale/flat/303666807/,Москва,sale,flat,7,25,2,69.3,29650420.0,Печатники,Южнопортовая ,,Печатники,Portland
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303779368/,Москва,sale,flat,9,12,1,35.0,10200000.0,Новогиреево,Союзный проспект,20К1,Новогиреево,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/298380294/,Москва,sale,flat,4,19,2,62.1,27572400.0,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал
ID 101525579,homeowner,https://www.cian.ru/sale/flat/302073637/,Москва,sale,flat,2,5,2,48.0,28900000.0,Пресненский, Юлиуса Фучика,2/30,Маяковская,
Level Group,developer,https://www.cian.ru/sale/flat/301556999/,Москва,sale,flat,29,31,2,40.2,,Западное Дегунино,Северный ао,к3,Верхние Лихоборы,Левел Селигерская ЖК
Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/299893948/,Москва,sale,flat,5,16,2,38.9,10990000.0,Отрадное,Алтуфьевское шоссе,2,Владыкино,
Колди,developer,https://www.cian.ru/sale/flat/304249322/,Москва,sale,flat,4,21,2,43.29,12125294.0,Нижегородский,,,Калитники,Н'айс Лофт ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300015723/,Москва,sale,flat,20,39,2,64.0,37000000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
MR Group,developer,https://www.cian.ru/sale/flat/282209329/,Москва,sale,flat,2,57,1,42.52,24463584.0,Филевский парк,,,Фили,Фили Сити ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/290001136/,Москва,sale,flat,2,6,2,75.0,84750000.0,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
Группа Родина,developer,https://www.cian.ru/sale/flat/293156291/,Москва,sale,flat,2,24,1,40.3,23694900.0,Ростокино,,к3,Ботанический сад,Союз ЖК
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/303476285/,Москва,sale,flat,9,29,2,68.1,40000000.0,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,Сердце Столицы
Sminex,developer,https://www.cian.ru/sale/flat/303262675/,Москва,sale,flat,20,26,1,35.93,21290000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299723346/,Москва,sale,flat,63,66,1,86.0,90000000.0,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
Tekta Group,developer,https://www.cian.ru/sale/flat/303506233/,Москва,sale,flat,8,28,1,39.7,17789570.0,Нагорный,,1,Нагорная,Твелв ЖК
