author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303779112/,Москва,sale,flat,16,17,1,38.2,9400000.0,Орехово-Борисово Южное,Гурьевский проезд,31К2,Зябликово,
Level Group,developer,https://www.cian.ru/sale/flat/301555238/,Москва,sale,flat,13,24,2,45.6,,Покровское-Стрешнево,Северо-Западный ао,,Тушинская,Левел Стрешнево ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/302590858/,Москва,sale,flat,3,8,2,59.3,48800000.0,Даниловский,Хавская ,9,Шаболовская,Residence Hall Шаболовский
Sminex,developer,https://www.cian.ru/sale/flat/304094787/,Москва,sale,flat,3,24,1,51.4,53340000.0,Пресненский,Электрический переулок,1с22,Белорусская,Квартал Тишинский бульвар
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/303275971/,Москва,sale,flat,3,13,2,65.6,49800000.0,Пресненский,Большая Садовая ,5к1,Маяковская,Квартал апартаментов Сады Пекина
Основа,developer,https://www.cian.ru/sale/flat/286347121/,Москва,sale,flat,2,29,2,45.7,14422920.0,Черемушки, Наметкина,вл10,Новые Черёмушки,Nametkin Tower
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/303397064/,Москва,sale,flat,30,41,2,57.0,30000000.0,Раменки,1-й Сетуньский проезд,вл6,Кутузовская,Hide
GloraX,developer,https://www.cian.ru/sale/flat/303477025/,Москва,sale,flat,4,21,1,53.11,29079999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/302153674/,Москва,sale,flat,9,41,1,40.4,31500000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Пионер,developer,https://www.cian.ru/sale/flat/301460115/,Москва,sale,flat,6,26,1,24.4,19216171.0,Даниловский,,,Павелецкая,Хай Лайф ЖК
EXCLUSIVE CITY,real_estate_agent,https://www.cian.ru/sale/flat/298381402/,Москва,sale,flat,8,21,2,51.0,45000000.0,Пресненский,набережная Пресненская,10с2,Деловой центр,МФК IQ-квартал
St Michael,developer,https://www.cian.ru/sale/flat/303024911/,Москва,sale,flat,16,21,2,58.28,25323650.0,Хорошевский,9Ак7,9Ак7,Полежаевская,Зорге 9 ЖК
ФОРА,real_estate_agent,https://www.cian.ru/sale/flat/302745451/,Москва,sale,flat,6,6,2,64.2,26500000.0,Хорошевский,2-й Хорошевский проезд,9К1,Беговая,
Аеон-Девелопмент,developer,https://www.cian.ru/sale/flat/302037458/,Москва,sale,flat,2,46,2,63.8,43657111.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/303476125/,Москва,sale,flat,13,40,2,47.3,41150000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Prime Life Development,developer,https://www.cian.ru/sale/flat/301781621/,Москва,sale,flat,12,25,1,40.2,23056412.0,Нагатино-Садовники,,,Нагатинская,Первый Нагатинский
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/303769583/,Москва,sale,flat,27,41,2,70.0,53900000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Level Group,developer,https://www.cian.ru/sale/flat/302985345/,Москва,sale,flat,2,11,2,31.0,,Хорошево-Мневники,Причальный проезд,10А,Шелепиха,Level Причальный
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/302301195/,Москва,sale,flat,3,18,2,48.0,31990000.0,Раменки, Янковского,1к2,Аминьевская,Событие
ID 111759195,developer,https://www.cian.ru/sale/flat/296872031/,Москва,sale,flat,19,30,2,37.9,12981470.0,Рязанский,Рязанский проспект,,Окская,balance
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/303615604/,Москва,sale,flat,15,40,2,48.0,43900000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Level Group,developer,https://www.cian.ru/sale/flat/302621324/,Москва,sale,flat,2,64,2,34.9,,Хорошево-Мневники,,,Народное Ополчение,Левел Звенигородская ЖК
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/302153579/,Москва,sale,flat,12,41,1,41.9,30900000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Level Group,developer,https://www.cian.ru/sale/flat/301565134/,Москва,sale,flat,11,23,2,34.9,,Печатники,,13,Кожуховская,Левел Южнопортовая ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301042655/,Москва,sale,flat,37,79,1,78.0,80000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Трансстройинвест,developer,https://www.cian.ru/sale/flat/296303052/,Москва,sale,flat,3,8,1,62.7,89465815.0,Мещанский,Большой Кисельный переулок,11/2с2,Тургеневская,Frank's house
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006052/,Москва,sale,flat,2,5,2,103.0,149980000.0,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas
Level Group,developer,https://www.cian.ru/sale/flat/303453829/,Москва,sale,flat,2,37,2,37.4,,Нижегородский,,3,Нижегородская,Левел Нижегородская ЖК
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/303637932/,Москва,sale,flat,8,28,2,61.6,30000000.0,Раменки,Винницкая ,8к4,Раменки,Настоящее
Центр-Инвест,developer,https://www.cian.ru/sale/flat/299384199/,Москва,sale,flat,2,35,2,43.1,18070574.0,Левобережный,Фестивальная ,15к24/1,Речной вокзал,Фестиваль парк-2
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303207257/,Москва,sale,flat,13,21,2,70.0,35500000.0,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
MR Group,developer,https://www.cian.ru/sale/flat/303861522/,Москва,sale,flat,2,54,1,36.06,20713585.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/302747341/,Москва,sale,flat,15,32,2,64.0,59000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Основа,developer,https://www.cian.ru/sale/flat/293623772/,Москва,sale,flat,6,28,1,43.5,17182500.0,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК
,,https://www.cian.ru/sale/flat/301960480/,Москва,sale,flat,1,4,2,53.8,9400000.0,Фили-Давыдково, Алексея Свиридова,1,Кунцевская,
КОРТРОС,developer,https://www.cian.ru/sale/flat/302789652/,Москва,sale,flat,14,49,1,40.1,17964800.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/300032614/,Москва,sale,flat,2,9,2,46.0,10300000.0,Текстильщики,Грайвороновская ,18К3,Текстильщики,
Sminex,developer,https://www.cian.ru/sale/flat/303649388/,Москва,sale,flat,22,23,1,298.3,448200000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/302591225/,Москва,sale,flat,9,28,1,34.7,14800000.0,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
Sminex,developer,https://www.cian.ru/sale/flat/294328835/,Москва,sale,flat,3,6,1,78.7,164750000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/303375655/,Москва,sale,flat,10,12,1,38.0,15950000.0,КРАСИВАЯ квартира в шикарном е1-комн. квартира,38 м²,,,
Центр-Инвест,developer,https://www.cian.ru/sale/flat/298329420/,Москва,sale,flat,2,9,1,49.2,50910200.0,Таганский,Серебрянический переулок,6,Китай-город,Титул на Серебрянической
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/303527409/,Москва,sale,flat,3,18,1,30.6,10500000.0,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
Пионер,developer,https://www.cian.ru/sale/flat/301514338/,Москва,sale,flat,3,25,1,38.65,17201278.0,Москворечье-Сабурово,,,Варшавская,Лайф Варшавская ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295467334/,Москва,sale,flat,5,10,2,106.2,70000000.0,Хамовники, Пречистенка,40/2С4,Парк Культуры,
Донстрой,developer,https://www.cian.ru/sale/flat/304095698/,Москва,sale,flat,2,16,1,54.7,42086180.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/302398147/,Москва,sale,flat,15,25,1,39.0,17900000.0,Даниловский,1-я оч.,к13,Технопарк,Shagal
LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/302223488/,Москва,sale,flat,54,57,1,36.2,18060180.0,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
Центр Недвижимости Татьяны Анисимовой,real_estate_agent,https://www.cian.ru/sale/flat/304069937/,Москва,sale,flat,17,34,1,47.3,20900000.0,Обручевский, Архитектора Власова,71к2ск2,Воронцовская,Ever
Трансстройинвест,developer,https://www.cian.ru/sale/flat/303074070/,Москва,sale,flat,16,32,2,40.8,13984200.0,Рязанский,,,Стахановская,Проспект 39 ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301194318/,Москва,sale,flat,16,17,2,37.7,9290000.0,,,к10-11,Бунинская аллея,Эко Бунино ЖК
Forma,developer,https://www.cian.ru/sale/flat/297989289/,Москва,sale,flat,3,20,2,64.29,31495671.0,Даниловский,Автозаводская ,26,Тульская,FORST
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/304229312/,Москва,sale,flat,5,24,2,54.7,17500000.0,Обручевский, Обручева,5А,Новаторская,
ДОНСТРОЙ,developer,https://www.cian.ru/sale/flat/304095088/,Москва,sale,flat,2,27,2,55.8,23486220.0,Лефортово,,,Римская,Символ ЖК
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/303952576/,Москва,sale,flat,4,17,2,55.0,21750000.0,Раменки, Раменки,12,Раменки,
РКС Девелопмент,developer,https://www.cian.ru/sale/flat/301447803/,Москва,sale,flat,2,16,2,55.54,21287149.0,Даниловский,Автозаводская ,24К1,Тульская,Дом на набережной INSIDER
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/303116228/,Москва,sale,flat,5,22,1,41.0,11200000.0,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,Царицыно-2
Группа Родина,developer,https://www.cian.ru/sale/flat/293200702/,Москва,sale,flat,11,13,2,47.0,14817000.0,, 1-я Ватутинская,12к2,Ольховая,Russian Design District
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303804363/,Москва,sale,flat,9,9,2,56.3,18490000.0,Филевский парк,Новозаводская ,2к8А,Фили,
Upside Development,developer,https://www.cian.ru/sale/flat/303215964/,Москва,sale,flat,11,12,1,46.2,28644000.0,Даниловский,2-я Рощинская ,1,Тульская,Данилов дом
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/303936001/,Москва,sale,flat,17,24,1,29.1,8500000.0,Митино,Митинская ,16,Митино,Апарт-отель YE’S
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/301301828/,Москва,sale,flat,3,26,1,37.6,14073680.0,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК
CROCUS ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303790976/,Москва,sale,flat,13,32,2,77.0,36000000.0,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner
Центр-Инвест,developer,https://www.cian.ru/sale/flat/298576242/,Москва,sale,flat,15,22,2,38.4,29255040.0,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/302397364/,Москва,sale,flat,9,11,2,83.3,37100000.0,Беговой,Ленинградский проспект,35С2,Петровский Парк,Квартал апартаментов Искра-Парк
Capital Group,developer,https://www.cian.ru/sale/flat/301482951/,Москва,sale,flat,12,18,1,48.3,58149819.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301968601/,Москва,sale,flat,2,6,1,44.3,18606000.0,Таганский,2-й Гончарный переулок,3,Таганская,
MR Group,developer,https://www.cian.ru/sale/flat/303489487/,Москва,sale,flat,2,48,2,56.51,17932824.0,Сокол,шоссе Волоколамское (дублер),,Трикотажная,City Bay
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300655937/,Москва,sale,flat,15,29,2,72.0,40000000.0,Хорошево-Мневники,Шелепихинская набережная,40к3,Хорошёвская,Sydney City
Донстрой,developer,https://www.cian.ru/sale/flat/304095278/,Москва,sale,flat,3,18,2,56.1,29906910.0,Хорошево-Мневники,проезд Проектируемый № 1074,,Терехово ,Остров
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303766765/,Москва,sale,flat,4,20,2,76.6,62046000.0,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Минские холмы,developer,https://www.cian.ru/sale/flat/298045259/,Москва,sale,flat,8,52,2,53.8,21824030.0,Раменки,проспект Генерала Дорохова,вл1к1,Раменки,Will Towers
PANDA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/299250573/,Москва,sale,flat,4,22,2,55.0,42500000.0,Якиманка,Мытная ,40к1,Октябрьская,Sky House
VOS HOD,developer,https://www.cian.ru/sale/flat/300560437/,Москва,sale,flat,8,17,1,69.3,38918880.0,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,AHEAD
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/302332660/,Москва,sale,flat,11,13,2,83.0,43900000.0,Раменки,Винницкая ,8к2,Раменки,Настоящее
MR Group,developer,https://www.cian.ru/sale/flat/303541823/,Москва,sale,flat,18,44,1,41.34,21971194.0,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,Mod
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298140403/,Москва,sale,flat,25,49,2,93.6,41500000.0,Проспект Вернадского, Лобачевского,,Проспект Вернадского,Событие
Forma,developer,https://www.cian.ru/sale/flat/297983503/,Москва,sale,flat,10,29,1,39.0,19664580.0,Аэропорт,Часовая ,28к8,Сокол,SOUL
ID 221886,realtor,https://www.cian.ru/sale/flat/303196246/,Москва,sale,flat,2,9,2,46.0,14500000.0,Северное Медведково,Студеный проезд,38к1,Медведково,
3SGroup,developer,https://www.cian.ru/sale/flat/299381088/,Москва,sale,flat,4,17,2,49.5,11498837.0,,,,Корниловская,FOREVILLE
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/300605973/,Москва,sale,flat,15,16,1,34.3,9500000.0,, Василия Ощепкова,2,Коммунарка,Москвичка
FORMA,developer,https://www.cian.ru/sale/flat/301158303/,Москва,sale,flat,18,26,1,40.93,40696617.0,Пресненский,к2.2,к2.2,Белорусская,Репаблик ЖК
Ксения Шахматова,realtor,https://www.cian.ru/sale/flat/303215920/,Москва,sale,flat,4,9,2,50.0,14900000.0,Очаково-Матвеевское,Большая Очаковская ,21,Очаково,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/296774064/,Москва,sale,flat,2,24,1,43.9,20014010.0,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
Виктория Яковлева,realtor,https://www.cian.ru/sale/flat/303954401/,Москва,sale,flat,12,12,2,42.0,15300000.0,Бутырский, Яблочкова,41,Фонвизинская,
Центр-Инвест,representative_developer,https://www.cian.ru/sale/flat/298334392/,Москва,sale,flat,6,15,1,40.5,24502499.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302818966/,Москва,sale,flat,4,4,2,75.7,39900000.0,Марьина роща,проезд 12-й Марьиной рощи,8С2,Марьина Роща,Лофт-квартал Studio #12
Optima Development,developer,https://www.cian.ru/sale/flat/301041605/,Москва,sale,flat,2,41,2,48.5,33762426.0,Хорошевский,Ленинградский проспект,37/2,Петровский Парк,Прайм Парк
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303762197/,Москва,sale,flat,8,19,2,60.0,33000000.0,"Стильный ""лофт"" в е Беговой2-комн. апартаменты",60 м²,,,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/302013644/,Москва,sale,flat,3,9,2,54.3,12885390.0,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК
Ирина Савельева,realtor,https://www.cian.ru/sale/flat/297485415/,Москва,sale,flat,10,17,1,38.0,10410000.0,, Бачуринская,13,Бачуринская,Новая Звезда
AFI Development,developer,https://www.cian.ru/sale/flat/294550185/,Москва,sale,flat,15,25,2,47.6,25605040.0,Обручевский, Академика Челомея,1А,Воронцовская,AFI Park Воронцовский
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300148680/,Москва,sale,flat,7,27,2,67.9,28600000.0,Лефортово,,,Серп и Молот,Символ ЖК
Level Group,developer,https://www.cian.ru/sale/flat/304073512/,Москва,sale,flat,2,48,2,35.4,,Очаково-Матвеевское,,к8,Аминьевская,Левел Мичуринский ЖК
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/303583248/,Москва,sale,flat,22,45,2,77.1,32300000.0,Хорошево-Мневники, Шеногина,2,Шелепиха,
Hutton Development,developer,https://www.cian.ru/sale/flat/303631394/,Москва,sale,flat,5,17,1,50.3,35000000.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/285383928/,Москва,sale,flat,7,22,2,75.0,38500000.0,Раменки,Минская ,1ГК1,Ломоносовский проспект,Золотые Ключи 2
Regions Development,developer,https://www.cian.ru/sale/flat/304149689/,Москва,sale,flat,5,14,1,37.8,17518822.0,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
ID 413522,realtor,https://www.cian.ru/sale/flat/303087584/,Москва,sale,flat,7,12,2,78.0,104390000.0,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/300923063/,Москва,sale,flat,2,15,1,36.6,13995840.0,Головинский,Северный ао,,Коптево,Михалковский ЖК
ID 111063558,homeowner,https://www.cian.ru/sale/flat/300503861/,Москва,sale,flat,2,11,2,51.6,12700000.0,Северный,Долгопрудненское шоссе,6А,Физтех,Комплекс апартаментов Nord
MR Group,developer,https://www.cian.ru/sale/flat/303227151/,Москва,sale,flat,14,30,1,37.6,18068648.0,Южнопортовый,Волгоградский проспект,32/5к2,Дубровка,Метрополия
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/299639948/,Москва,sale,flat,30,75,2,71.8,66000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Level Group,developer,https://www.cian.ru/sale/flat/302126126/,Москва,sale,flat,23,26,1,33.5,,Нагатино-Садовники,Нагатинская набережная,,Нагатинская,Level Нагатинская
ID 74438895,realtor,https://www.cian.ru/sale/flat/302406289/,Москва,sale,flat,11,16,2,63.0,35900000.0,Сокольники, Матросская Тишина,12,Сокольники,Ренессанс
КОРТРОС,developer,https://www.cian.ru/sale/flat/298603750/,Москва,sale,flat,21,26,2,45.3,21517500.0,Останкинский,,,ВДНХ,АйЛав ЖК
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/303071453/,Москва,sale,flat,10,23,1,35.4,9900000.0,Южнопортовый,Волгоградский проспект,30С1,Волгоградский проспект,HighWay
MR Group,developer,https://www.cian.ru/sale/flat/303135247/,Москва,sale,flat,3,48,1,34.4,14603694.0,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,Мультиквартал CITYZEN
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/292414471/,Москва,sale,flat,3,20,2,64.0,38000000.0,Беговой,Бумажный проезд,4,Белорусская,Клубный дом SOHO+NOHO
TOUCH,developer,https://www.cian.ru/sale/flat/302838439/,Москва,sale,flat,2,13,1,40.02,22691340.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303459806/,Москва,sale,flat,9,15,2,62.9,35500000.0,Раменки,Винницкая ,8к4,Раменки,Настоящее
А101,developer,https://www.cian.ru/sale/flat/292131036/,Москва,sale,flat,11,16,2,39.7,9127413.0,,,,Филатов Луг,Деснаречье ЖК
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/297894351/,Москва,sale,flat,6,7,2,95.0,130000000.0,Хамовники, Льва Толстого,23к1,Парк Культуры,Литератор
ASTERUS,representative_developer,https://www.cian.ru/sale/flat/303294788/,Москва,sale,flat,14,25,1,37.7,20535964.0,Покровское-Стрешнево,,,Тушинская,Алиа ЖК
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/298054081/,Москва,sale,flat,5,9,2,38.0,18500000.0,Даниловский,оч.3,оч.3,Технопарк,Шагал ЖК
MR Group,developer,https://www.cian.ru/sale/flat/303786405/,Москва,sale,flat,12,39,1,33.69,14852731.0,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303199166/,Москва,sale,flat,7,79,2,62.1,49680000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Мангазея,developer,https://www.cian.ru/sale/flat/304059391/,Москва,sale,flat,13,41,1,43.0,21366700.0,Даниловский,Большая Тульская ,10С5,Тульская,Мангазея на Тульской
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300553173/,Москва,sale,flat,2,14,2,69.9,35000000.0,Мещанский, Гиляровского,4К1,Сухаревская,
ДОНСТРОЙ,developer,https://www.cian.ru/sale/flat/304095973/,Москва,sale,flat,13,50,1,39.7,22501960.0,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/302375319/,Москва,sale,flat,4,7,1,36.8,8500000.0,,,,Санино,Квартал Западный ЖК
Трансстройинвест,developer,https://www.cian.ru/sale/flat/303921201/,Москва,sale,flat,14,22,1,48.6,25876852.0,Останкинский,проезд Ольминского,4,ВДНХ,Сенатор
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/303520855/,Москва,sale,flat,1,6,2,54.0,47000000.0,Пресненский,Большой Козихинский переулок,17С1,Пушкинская,
Основа,developer,https://www.cian.ru/sale/flat/304303435/,Москва,sale,flat,2,5,1,37.9,,Марфино,Ботаническая ,29К1,Владыкино,VERY
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302363306/,Москва,sale,flat,7,8,2,51.0,75200000.0,Якиманка,Софийская набережная,34С5,Новокузнецкая,Софийский
Forma,developer,https://www.cian.ru/sale/flat/301354608/,Москва,sale,flat,8,25,1,40.7,21020410.0,Печатники,Южнопортовая ,,Печатники,Portland
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/303985617/,Москва,sale,flat,41,58,1,37.6,18500000.0,Хорошево-Мневники, Народного Ополчения,15К2,Народное Ополчение,Wellton Towers
А101,developer,https://www.cian.ru/sale/flat/291307441/,Москва,sale,flat,4,16,2,34.4,10817233.0,,,,Прокшино,Прокшино ЖК
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303016403/,Москва,sale,flat,12,28,1,45.2,20950000.0,Даниловский,Автозаводская ,,Автозаводская,Shagal
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/298496731/,Москва,sale,flat,14,19,1,29.0,18009000.0,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал
MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/302856189/,Москва,sale,flat,17,17,2,52.0,22900000.0,Алексеевский,3-я Мытищинская ,3к2,Алексеевская,Алексеево
Level Group,developer,https://www.cian.ru/sale/flat/301557027/,Москва,sale,flat,14,31,1,33.9,,Западное Дегунино,Северный ао,к3,Верхние Лихоборы,Левел Селигерская ЖК
Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/303116161/,Москва,sale,flat,7,9,2,43.0,11950000.0,,проспект Магеллана,2,Прокшино,Испанские кварталы
Колди,developer,https://www.cian.ru/sale/flat/302241722/,Москва,sale,flat,17,21,1,30.09,8649740.0,Нижегородский,,,Калитники,Н'айс Лофт ЖК
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/301156873/,Москва,sale,flat,2,7,2,75.0,37800000.0,Мещанский, Гиляровского,55,Проспект Мира,Дом на Гиляровского
Основа,developer,https://www.cian.ru/sale/flat/299250693/,Москва,sale,flat,11,29,1,30.1,12536650.0,Черемушки, Наметкина,вл10,Новые Черёмушки,Nametkin Tower
Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/303620086/,Москва,sale,flat,16,16,1,19.5,6290000.0,Отрадное,Алтуфьевское шоссе,2,Владыкино,
St Michael,developer,https://www.cian.ru/sale/flat/303024826/,Москва,sale,flat,16,21,1,37.68,17665200.0,Хорошевский,9Ак6,9Ак6,Зорге,Зорге 9 ЖК
Liberty Estate,real_estate_agent,https://www.cian.ru/sale/flat/304275053/,Москва,sale,flat,5,9,1,32.0,13900000.0,Донской,Загородное шоссе,15К2,Крымская,
